timestamp,vendor,arm,landed_compliant,gate_save,had_commit,recorded,fn_name
2026-06-18T21:41:01Z,claude,R,1,0,1,1,"double"
2026-06-18T21:41:22Z,claude,R,1,0,1,1,"is_even"
2026-06-18T21:41:47Z,claude,R,1,0,1,1,"max3"
2026-06-18T21:42:08Z,claude,R,1,0,1,1,"clamp_byte"
2026-06-18T21:42:42Z,claude,R,1,0,1,1,"reverse_str"
2026-06-18T21:43:00Z,claude,R,1,0,1,1,"sum_to"
2026-06-18T21:43:23Z,claude,R,1,0,1,1,"count_vowels"
2026-06-18T21:43:44Z,claude,R,1,0,1,1,"abs_diff"
2026-06-18T21:44:14Z,claude,R,1,0,1,1,"is_power_of_two"
2026-06-18T21:44:41Z,claude,R,1,0,1,1,"celsius_to_f"
2026-06-18T21:45:09Z,claude,G,1,0,1,1,"double"
2026-06-18T21:45:31Z,claude,G,1,0,1,1,"is_even"
2026-06-18T21:46:22Z,claude,G,1,0,1,1,"max3"
2026-06-18T21:46:40Z,claude,G,1,0,1,1,"clamp_byte"
2026-06-18T21:46:59Z,claude,G,1,0,1,1,"reverse_str"
2026-06-18T21:47:22Z,claude,G,1,0,1,1,"sum_to"
2026-06-18T21:47:59Z,claude,G,1,0,1,1,"count_vowels"
2026-06-18T21:48:22Z,claude,G,1,0,1,1,"abs_diff"
2026-06-18T21:48:38Z,claude,G,1,0,1,1,"is_power_of_two"
2026-06-18T21:49:07Z,claude,G,1,0,1,1,"celsius_to_f"
